w,errormargin,pollutionplus,exceptionalplus,typebeam,index
10,0.5,4,1,normal,9999
10,0.5,4,1,Jaccard,9999
10,0.5,4,3,normal,9999
10,0.5,4,3,Jaccard,9999
10,0.5,4,5,normal,9999
10,0.5,4,5,Jaccard,9999
10,0.5,8,1,normal,9999
10,0.5,8,1,Jaccard,9999
10,0.5,8,3,normal,9999
10,0.5,8,3,Jaccard,9999
10,0.5,8,5,normal,4
10,0.5,8,5,Jaccard,4
10,0.5,20,1,normal,9999
10,0.5,20,1,Jaccard,9999
10,0.5,20,3,normal,9999
10,0.5,20,3,Jaccard,9999
10,0.5,20,5,normal,9999
10,0.5,20,5,Jaccard,9999
10,2.0,4,1,normal,9999
10,2.0,4,1,Jaccard,9999
10,2.0,4,3,normal,9999
10,2.0,4,3,Jaccard,9999
10,2.0,4,5,normal,7
10,2.0,4,5,Jaccard,7
10,2.0,8,1,normal,9999
10,2.0,8,1,Jaccard,9999
10,2.0,8,3,normal,9999
10,2.0,8,3,Jaccard,9999
10,2.0,8,5,normal,9999
10,2.0,8,5,Jaccard,9999
10,2.0,20,1,normal,9999
10,2.0,20,1,Jaccard,9999
10,2.0,20,3,normal,9999
10,2.0,20,3,Jaccard,9999
10,2.0,20,5,normal,9999
10,2.0,20,5,Jaccard,9999
10,10.0,4,1,normal,9999
10,10.0,4,1,Jaccard,9999
10,10.0,4,3,normal,9999
10,10.0,4,3,Jaccard,9999
10,10.0,4,5,normal,6
10,10.0,4,5,Jaccard,6
10,10.0,8,1,normal,9999
10,10.0,8,1,Jaccard,9999
10,10.0,8,3,normal,9999
10,10.0,8,3,Jaccard,9999
10,10.0,8,5,normal,2
10,10.0,8,5,Jaccard,2
10,10.0,20,1,normal,9999
10,10.0,20,1,Jaccard,9999
10,10.0,20,3,normal,9999
10,10.0,20,3,Jaccard,9999
10,10.0,20,5,normal,9999
10,10.0,20,5,Jaccard,9999
25,0.5,4,1,normal,9999
25,0.5,4,1,Jaccard,9999
25,0.5,4,3,normal,5
25,0.5,4,3,Jaccard,5
25,0.5,4,5,normal,9999
25,0.5,4,5,Jaccard,9999
25,0.5,8,1,normal,9999
25,0.5,8,1,Jaccard,9999
25,0.5,8,3,normal,9999
25,0.5,8,3,Jaccard,9999
25,0.5,8,5,normal,4
25,0.5,8,5,Jaccard,4
25,0.5,20,1,normal,9999
25,0.5,20,1,Jaccard,9999
25,0.5,20,3,normal,9999
25,0.5,20,3,Jaccard,9999
25,0.5,20,5,normal,9999
25,0.5,20,5,Jaccard,9999
25,2.0,4,1,normal,9999
25,2.0,4,1,Jaccard,9999
25,2.0,4,3,normal,11
25,2.0,4,3,Jaccard,10
25,2.0,4,5,normal,9999
25,2.0,4,5,Jaccard,9999
25,2.0,8,1,normal,9999
25,2.0,8,1,Jaccard,9999
25,2.0,8,3,normal,9999
25,2.0,8,3,Jaccard,9999
25,2.0,8,5,normal,2
25,2.0,8,5,Jaccard,2
25,2.0,20,1,normal,9999
25,2.0,20,1,Jaccard,9999
25,2.0,20,3,normal,9999
25,2.0,20,3,Jaccard,9999
25,2.0,20,5,normal,9999
25,2.0,20,5,Jaccard,9999
25,10.0,4,1,normal,9999
25,10.0,4,1,Jaccard,9999
25,10.0,4,3,normal,18
25,10.0,4,3,Jaccard,15
25,10.0,4,5,normal,9999
25,10.0,4,5,Jaccard,8
25,10.0,8,1,normal,9999
25,10.0,8,1,Jaccard,9999
25,10.0,8,3,normal,9999
25,10.0,8,3,Jaccard,9999
25,10.0,8,5,normal,9999
25,10.0,8,5,Jaccard,9999
25,10.0,20,1,normal,9999
25,10.0,20,1,Jaccard,9999
25,10.0,20,3,normal,9999
25,10.0,20,3,Jaccard,9999
25,10.0,20,5,normal,9999
25,10.0,20,5,Jaccard,9999
60,0.5,4,1,normal,9999
60,0.5,4,1,Jaccard,9999
60,0.5,4,3,normal,4
60,0.5,4,3,Jaccard,4
60,0.5,4,5,normal,9999
60,0.5,4,5,Jaccard,9999
60,0.5,8,1,normal,9999
60,0.5,8,1,Jaccard,9999
60,0.5,8,3,normal,9999
60,0.5,8,3,Jaccard,9999
60,0.5,8,5,normal,6
60,0.5,8,5,Jaccard,5
60,0.5,20,1,normal,9999
60,0.5,20,1,Jaccard,9999
60,0.5,20,3,normal,9999
60,0.5,20,3,Jaccard,9999
60,0.5,20,5,normal,29
60,0.5,20,5,Jaccard,19
60,2.0,4,1,normal,9999
60,2.0,4,1,Jaccard,9999
60,2.0,4,3,normal,11
60,2.0,4,3,Jaccard,9
60,2.0,4,5,normal,9999
60,2.0,4,5,Jaccard,9999
60,2.0,8,1,normal,9999
60,2.0,8,1,Jaccard,9999
60,2.0,8,3,normal,9999
60,2.0,8,3,Jaccard,47
60,2.0,8,5,normal,4
60,2.0,8,5,Jaccard,3
60,2.0,20,1,normal,9999
60,2.0,20,1,Jaccard,9999
60,2.0,20,3,normal,9999
60,2.0,20,3,Jaccard,9999
60,2.0,20,5,normal,9999
60,2.0,20,5,Jaccard,9999
60,10.0,4,1,normal,6
60,10.0,4,1,Jaccard,4
60,10.0,4,3,normal,5
60,10.0,4,3,Jaccard,5
60,10.0,4,5,normal,12
60,10.0,4,5,Jaccard,9
60,10.0,8,1,normal,9999
60,10.0,8,1,Jaccard,9999
60,10.0,8,3,normal,9999
60,10.0,8,3,Jaccard,9999
60,10.0,8,5,normal,15
60,10.0,8,5,Jaccard,11
60,10.0,20,1,normal,9999
60,10.0,20,1,Jaccard,9999
60,10.0,20,3,normal,9999
60,10.0,20,3,Jaccard,9999
60,10.0,20,5,normal,9999
60,10.0,20,5,Jaccard,9999
