w,errormargin,pollutionplus,exceptionalplus,typebeam,index
10,0.5,4,1,normal,2
10,0.5,4,1,Jaccard,2
10,0.5,4,1,Old,9999
10,0.5,4,3,normal,4
10,0.5,4,3,Jaccard,4
10,0.5,4,3,Old,9999
10,0.5,4,5,normal,3
10,0.5,4,5,Jaccard,3
10,0.5,4,5,Old,9999
10,0.5,8,1,normal,7
10,0.5,8,1,Jaccard,7
10,0.5,8,1,Old,9999
10,0.5,8,3,normal,5
10,0.5,8,3,Jaccard,5
10,0.5,8,3,Old,9999
10,0.5,8,5,normal,4
10,0.5,8,5,Jaccard,4
10,0.5,8,5,Old,9999
10,0.5,20,1,normal,9999
10,0.5,20,1,Jaccard,9999
10,0.5,20,1,Old,9999
10,0.5,20,3,normal,9999
10,0.5,20,3,Jaccard,9999
10,0.5,20,3,Old,9999
10,0.5,20,5,normal,9999
10,0.5,20,5,Jaccard,9999
10,0.5,20,5,Old,9999
10,2.0,4,1,normal,2
10,2.0,4,1,Jaccard,2
10,2.0,4,1,Old,9999
10,2.0,4,3,normal,3
10,2.0,4,3,Jaccard,3
10,2.0,4,3,Old,9999
10,2.0,4,5,normal,4
10,2.0,4,5,Jaccard,4
10,2.0,4,5,Old,9999
10,2.0,8,1,normal,9999
10,2.0,8,1,Jaccard,9999
10,2.0,8,1,Old,9999
10,2.0,8,3,normal,5
10,2.0,8,3,Jaccard,7
10,2.0,8,3,Old,9999
10,2.0,8,5,normal,2
10,2.0,8,5,Jaccard,2
10,2.0,8,5,Old,9999
10,2.0,20,1,normal,9999
10,2.0,20,1,Jaccard,9999
10,2.0,20,1,Old,9999
10,2.0,20,3,normal,9999
10,2.0,20,3,Jaccard,9999
10,2.0,20,3,Old,9999
10,2.0,20,5,normal,2
10,2.0,20,5,Jaccard,2
10,2.0,20,5,Old,9999
10,10.0,4,1,normal,9999
10,10.0,4,1,Jaccard,9999
10,10.0,4,1,Old,9999
10,10.0,4,3,normal,3
10,10.0,4,3,Jaccard,3
10,10.0,4,3,Old,9999
10,10.0,4,5,normal,4
10,10.0,4,5,Jaccard,4
10,10.0,4,5,Old,9999
10,10.0,8,1,normal,9999
10,10.0,8,1,Jaccard,9999
10,10.0,8,1,Old,9999
10,10.0,8,3,normal,9999
10,10.0,8,3,Jaccard,9999
10,10.0,8,3,Old,9999
10,10.0,8,5,normal,5
10,10.0,8,5,Jaccard,6
10,10.0,8,5,Old,9999
10,10.0,20,1,normal,9999
10,10.0,20,1,Jaccard,9999
10,10.0,20,1,Old,9999
10,10.0,20,3,normal,9999
10,10.0,20,3,Jaccard,9999
10,10.0,20,3,Old,9999
10,10.0,20,5,normal,9999
10,10.0,20,5,Jaccard,9999
10,10.0,20,5,Old,9999
25,0.5,4,1,normal,19
25,0.5,4,1,Jaccard,20
25,0.5,4,1,Old,9999
25,0.5,4,3,normal,6
25,0.5,4,3,Jaccard,4
25,0.5,4,3,Old,9999
25,0.5,4,5,normal,6
25,0.5,4,5,Jaccard,4
25,0.5,4,5,Old,9999
25,0.5,8,1,normal,9999
25,0.5,8,1,Jaccard,9999
25,0.5,8,1,Old,9999
25,0.5,8,3,normal,5
25,0.5,8,3,Jaccard,4
25,0.5,8,3,Old,9999
25,0.5,8,5,normal,4
25,0.5,8,5,Jaccard,4
25,0.5,8,5,Old,9999
25,0.5,20,1,normal,9999
25,0.5,20,1,Jaccard,9999
25,0.5,20,1,Old,9999
25,0.5,20,3,normal,9999
25,0.5,20,3,Jaccard,9999
25,0.5,20,3,Old,9999
25,0.5,20,5,normal,21
25,0.5,20,5,Jaccard,21
25,0.5,20,5,Old,9999
25,2.0,4,1,normal,9
25,2.0,4,1,Jaccard,7
25,2.0,4,1,Old,9999
25,2.0,4,3,normal,6
25,2.0,4,3,Jaccard,4
25,2.0,4,3,Old,9999
25,2.0,4,5,normal,5
25,2.0,4,5,Jaccard,4
25,2.0,4,5,Old,9999
25,2.0,8,1,normal,9999
25,2.0,8,1,Jaccard,9999
25,2.0,8,1,Old,9999
25,2.0,8,3,normal,2
25,2.0,8,3,Jaccard,2
25,2.0,8,3,Old,9999
25,2.0,8,5,normal,6
25,2.0,8,5,Jaccard,4
25,2.0,8,5,Old,9999
25,2.0,20,1,normal,9999
25,2.0,20,1,Jaccard,9999
25,2.0,20,1,Old,9999
25,2.0,20,3,normal,7
25,2.0,20,3,Jaccard,6
25,2.0,20,3,Old,9999
25,2.0,20,5,normal,9999
