w,errormargin,pollutionplus,exceptionalplus,superexceptionalplus,typebeam,pollution1,pollution2,exceptional1,exceptional2,exceptionalexclude,exceptionaloverlap
10,0.5,4,1,4,normal,5,2,9999,9999,9,9999
10,0.5,4,1,4,Jaccard,4,2,9999,9999,8,9999
10,0.5,4,1,12,normal,9999,2,9999,9999,3,9999
10,0.5,4,1,12,Jaccard,9999,2,9999,9999,3,9999
10,0.5,4,1,25,normal,9999,8,9999,9999,1,6
10,0.5,4,1,25,Jaccard,9999,8,9999,9999,1,6
10,0.5,4,3,4,normal,4,2,9999,9999,9,9999
10,0.5,4,3,4,Jaccard,4,2,9999,9999,9,9999
10,0.5,4,3,12,normal,9999,2,9999,9999,1,9999
10,0.5,4,3,12,Jaccard,9999,2,9999,9999,1,9999
10,0.5,4,3,25,normal,9999,6,9999,9999,1,3
10,0.5,4,3,25,Jaccard,9999,6,9999,9999,1,3
10,0.5,4,5,4,normal,4,2,5,9999,9999,9999
10,0.5,4,5,4,Jaccard,4,2,5,9999,9999,9999
10,0.5,4,5,12,normal,9999,2,9999,9999,1,9999
10,0.5,4,5,12,Jaccard,9999,2,9999,9999,1,9999
10,0.5,4,5,25,normal,9999,8,9999,9999,2,4
10,0.5,4,5,25,Jaccard,9999,8,9999,9999,2,4
10,0.5,8,1,4,normal,3,2,9999,9999,9999,9999
10,0.5,8,1,4,Jaccard,3,2,9999,9999,9999,9999
10,0.5,8,1,12,normal,5,1,9999,9999,6,9999
10,0.5,8,1,12,Jaccard,4,1,9999,9999,5,9999
10,0.5,8,1,25,normal,9999,1,9999,9999,2,7
10,0.5,8,1,25,Jaccard,9999,1,9999,9999,2,7
10,0.5,8,3,4,normal,4,2,9999,9999,9999,9999
10,0.5,8,3,4,Jaccard,4,2,9999,9999,9999,9999
10,0.5,8,3,12,normal,5,1,9999,9999,6,9999
10,0.5,8,3,12,Jaccard,4,1,9999,9999,5,9999
10,0.5,8,3,25,normal,9999,2,9999,9999,3,8
10,0.5,8,3,25,Jaccard,9999,2,9999,9999,3,8
10,0.5,8,5,4,normal,3,2,9999,9999,9999,9999
10,0.5,8,5,4,Jaccard,3,2,9999,9999,9999,9999
10,0.5,8,5,12,normal,7,1,9999,9999,5,9999
10,0.5,8,5,12,Jaccard,6,1,9999,9999,4,9999
10,0.5,8,5,25,normal,9999,4,9999,9999,3,9999
10,0.5,8,5,25,Jaccard,9999,3,9999,9999,2,8
10,0.5,20,1,4,normal,3,2,9999,9999,9999,9999
10,0.5,20,1,4,Jaccard,3,2,9999,9999,9999,9999
10,0.5,20,1,12,normal,5,2,9999,9999,9999,9999
10,0.5,20,1,12,Jaccard,4,2,9999,9999,9999,9999
10,0.5,20,1,25,normal,3,9999,9999,9999,8,9999
10,0.5,20,1,25,Jaccard,3,9999,9999,9999,6,9999
10,0.5,20,3,4,normal,3,2,9999,6,9999,9999
10,0.5,20,3,4,Jaccard,3,2,9999,6,9999,9999
10,0.5,20,3,12,normal,3,1,9999,9999,9999,9999
10,0.5,20,3,12,Jaccard,3,1,9999,9999,9999,9999
10,0.5,20,3,25,normal,3,1,9999,9999,4,9999
10,0.5,20,3,25,Jaccard,3,1,9999,9999,4,9999
10,0.5,20,5,4,normal,3,2,7,6,9999,9999
10,0.5,20,5,4,Jaccard,3,2,9999,6,9999,9999
10,0.5,20,5,12,normal,3,2,9999,9999,9999,9999
10,0.5,20,5,12,Jaccard,3,2,9999,9999,9999,9999
10,0.5,20,5,25,normal,4,9999,9999,9999,9,9999
10,0.5,20,5,25,Jaccard,3,9999,9999,9999,8,9999
10,2.0,4,1,4,normal,5,2,9999,9999,9,9999
10,2.0,4,1,4,Jaccard,4,2,9999,9999,7,9999
10,2.0,4,1,12,normal,9999,3,9999,9999,4,9999
10,2.0,4,1,12,Jaccard,9999,2,9999,9999,3,9999
10,2.0,4,1,25,normal,9999,9,9999,9999,1,5
10,2.0,4,1,25,Jaccard,9999,9,9999,9999,1,5
10,2.0,4,3,4,normal,4,2,9999,9999,9999,9999
10,2.0,4,3,4,Jaccard,4,2,9999,9999,9999,9999
10,2.0,4,3,12,normal,9999,3,9999,9999,1,9999
10,2.0,4,3,12,Jaccard,9999,3,9999,9999,1,9999
10,2.0,4,3,25,normal,9999,8,9999,9999,1,7
10,2.0,4,3,25,Jaccard,9999,8,9999,9999,1,7
10,2.0,4,5,4,normal,7,2,3,9999,9999,9999
10,2.0,4,5,4,Jaccard,7,2,3,9999,9999,9999
10,2.0,4,5,12,normal,9999,3,9999,9999,2,9999
10,2.0,4,5,12,Jaccard,9999,3,9999,9999,2,9999
10,2.0,4,5,25,normal,9999,8,9999,9999,1,3
10,2.0,4,5,25,Jaccard,9999,8,9999,9999,1,3
10,2.0,8,1,4,normal,3,2,9999,9999,9999,9999
10,2.0,8,1,4,Jaccard,3,2,9999,9999,9999,9999
10,2.0,8,1,12,normal,5,2,9999,9999,6,9999
10,2.0,8,1,12,Jaccard,4,2,9999,9999,5,9999
10,2.0,8,1,25,normal,9999,3,9999,9999,1,6
10,2.0,8,1,25,Jaccard,9999,3,9999,9999,1,6
10,2.0,8,3,4,normal,5,2,9999,9999,9999,9999
10,2.0,8,3,4,Jaccard,4,2,9999,9999,9999,9999
10,2.0,8,3,12,normal,6,1,9999,9999,5,9999
10,2.0,8,3,12,Jaccard,5,1,9999,9999,4,9999
10,2.0,8,3,25,normal,9999,1,9999,9999,2,9999
10,2.0,8,3,25,Jaccard,9999,1,9999,9999,2,9999
10,2.0,8,5,4,normal,4,2,9999,9999,9999,9999
10,2.0,8,5,4,Jaccard,4,2,9999,9999,9999,9999
10,2.0,8,5,12,normal,5,1,9999,9999,6,9999
10,2.0,8,5,12,Jaccard,4,1,9999,9999,5,9999
10,2.0,8,5,25,normal,9999,1,9999,9999,2,9
10,2.0,8,5,25,Jaccard,9999,1,9999,9999,2,7
10,2.0,20,1,4,normal,2,9999,9999,9999,9999,9999
10,2.0,20,1,4,Jaccard,2,9999,9999,9999,9999,9999
10,2.0,20,1,12,normal,3,2,9999,9999,9999,9999
10,2.0,20,1,12,Jaccard,3,2,9999,9999,9999,9999
10,2.0,20,1,25,normal,5,9999,9999,9999,9,9999
10,2.0,20,1,25,Jaccard,4,9999,9999,9999,7,9999
10,2.0,20,3,4,normal,3,2,9999,9999,9999,9999
10,2.0,20,3,4,Jaccard,3,2,9999,9999,9999,9999
10,2.0,20,3,12,normal,3,2,9999,9999,9999,9999
10,2.0,20,3,12,Jaccard,3,2,9999,9999,9999,9999
10,2.0,20,3,25,normal,3,9999,9999,9999,7,9999
