errormargin,pollutionplus,exceptionalplus,typebeam,index
0.5,4,1,normal,9999
0.5,4,1,Jaccard,9999
0.5,4,1,Old,9999
0.5,4,3,normal,2
0.5,4,3,Jaccard,2
0.5,4,3,Old,9999
0.5,4,5,normal,4
0.5,4,5,Jaccard,4
0.5,4,5,Old,9999
0.5,8,1,normal,9999
0.5,8,1,Jaccard,9999
0.5,8,1,Old,9999
0.5,8,3,normal,2
0.5,8,3,Jaccard,2
0.5,8,3,Old,9999
0.5,8,5,normal,4
0.5,8,5,Jaccard,4
0.5,8,5,Old,9999
0.5,20,1,normal,9999
0.5,20,1,Jaccard,9999
0.5,20,1,Old,9999
0.5,20,3,normal,2
0.5,20,3,Jaccard,2
0.5,20,3,Old,9999
0.5,20,5,normal,6
0.5,20,5,Jaccard,6
0.5,20,5,Old,9999
2.0,4,1,normal,8
2.0,4,1,Jaccard,8
2.0,4,1,Old,9999
2.0,4,3,normal,2
2.0,4,3,Jaccard,2
2.0,4,3,Old,9999
2.0,4,5,normal,5
2.0,4,5,Jaccard,5
2.0,4,5,Old,9999
2.0,8,1,normal,2
2.0,8,1,Jaccard,2
2.0,8,1,Old,9999
2.0,8,3,normal,5
2.0,8,3,Jaccard,6
2.0,8,3,Old,9999
2.0,8,5,normal,4
2.0,8,5,Jaccard,4
2.0,8,5,Old,9999
2.0,20,1,normal,9999
2.0,20,1,Jaccard,9999
2.0,20,1,Old,9999
2.0,20,3,normal,2
2.0,20,3,Jaccard,2
2.0,20,3,Old,9999
2.0,20,5,normal,7
2.0,20,5,Jaccard,8
2.0,20,5,Old,9999
10.0,4,1,normal,9999
10.0,4,1,Jaccard,9999
10.0,4,1,Old,9999
10.0,4,3,normal,2
10.0,4,3,Jaccard,2
10.0,4,3,Old,9999
10.0,4,5,normal,4
10.0,4,5,Jaccard,4
10.0,4,5,Old,9999
10.0,8,1,normal,9999
10.0,8,1,Jaccard,9999
10.0,8,1,Old,9999
10.0,8,3,normal,8
10.0,8,3,Jaccard,9
10.0,8,3,Old,9999
10.0,8,5,normal,4
10.0,8,5,Jaccard,4
10.0,8,5,Old,9999
10.0,20,1,normal,9999
10.0,20,1,Jaccard,9999
10.0,20,1,Old,9999
10.0,20,3,normal,9999
10.0,20,3,Jaccard,9999
10.0,20,3,Old,9999
10.0,20,5,normal,3
10.0,20,5,Jaccard,3
10.0,20,5,Old,9999
